team,championship_rank,championship_score,adjusted_finish_score,first_four_win_probability,round_of_32_probability,sweet_16_probability,elite_8_probability,final_four_probability,championship_game_probability,championship_probability
Duke,2,1.492537313432836,3.395868105667423,0,0.935,0.895,0.838,0.737,0.617,0.426
Michigan,1,0,3.414761186193438,0,0.946,0.656,0.604,0.437,0.272,0.145
Arizona,3,2.985074626865672,3.2517750412938136,0,0.958,0.837,0.635,0.429,0.22,0.098
Gonzaga,4,4.477611940298507,3.014978757520095,0,0.96,0.887,0.678,0.343,0.162,0.064
Iowa State,7,8.955223880597014,2.9443173919355976,0,0.948,0.86,0.698,0.304,0.158,0.064
Houston,9,11.940298507462687,2.8653936429414224,0,0.945,0.657,0.469,0.315,0.117,0.057
Saint Louis,6,7.462686567164179,2.957828793611339,0,0.93,0.335,0.287,0.178,0.098,0.04
Florida,5,5.970149253731344,2.9770726783800585,0,0.954,0.814,0.611,0.306,0.094,0.033
Connecticut,10,13.432835820895523,2.782069070070247,0,0.949,0.853,0.59,0.156,0.068,0.019
Illinois,8,10.447761194029852,2.9123994784596623,0,0.943,0.762,0.306,0.161,0.04,0.016
High Point,11,14.925373134328359,2.7296953356982607,0,0.904,0.761,0.285,0.129,0.046,0.013
Saint Mary's,15,20.895522388059703,2.613786446237592,0,0.897,0.328,0.192,0.118,0.029,0.009
Louisville,13,17.91044776119403,2.637336507067105,0,0.638,0.397,0.181,0.027,0.011,0.004
Purdue,12,16.417910447761194,2.6770186252828623,0,0.95,0.779,0.273,0.073,0.015,0.002
St. John's (NY),18,25.37313432835821,2.5687535924381644,0,0.742,0.607,0.088,0.03,0.007,0.002
Tennessee,22,31.34328358208955,2.5107163780151067,0,0.554,0.235,0.064,0.008,0.002,0.002
Santa Clara,28,40.298507462686565,2.3522349026935685,0,0.709,0.096,0.029,0.005,0.003,0.002
Vanderbilt,14,19.402985074626866,2.6158647230282948,0,0.604,0.357,0.137,0.041,0.002,0.001
Virginia,16,22.388059701492537,2.5768009569227632,0,0.916,0.573,0.163,0.041,0.014,0.001
Michigan State,21,29.850746268656717,2.540153849879465,0,0.733,0.371,0.125,0.02,0.005,0.001
South Florida,23,32.83582089552239,2.4644292826172465,0,0.362,0.166,0.048,0.007,0.001,0.001
Nebraska,25,35.82089552238806,2.4335901992763973,0,0.869,0.429,0.13,0.037,0.005,0
Utah State,17,23.880597014925375,2.57244143722324,0,0.796,0.141,0.055,0.018,0.002,0
Akron,20,28.35820895522388,2.5434015480681107,0,0.669,0.499,0.082,0.018,0.004,0
Kansas,36,52.23880597014925,2.2549084044949055,0,0.737,0.206,0.025,0.008,0.001,0
McNeese,30,43.28358208955224,2.3435339833960365,0,0.396,0.198,0.049,0.007,0.001,0
Iowa,34,49.25373134328358,2.2859331556428453,0,0.607,0.125,0.054,0.007,0.001,0
Arkansas,19,26.865671641791046,2.5476684655155073,0,0.796,0.176,0.018,0.005,0.002,0
Miami (OH),24,34.32835820895522,2.4412098599702468,0.8,0.402,0.173,0.035,0.005,0.002,0
Virginia Commonwealth,31,44.776119402985074,2.343162428489656,0,0.61,0.146,0.018,0.005,0,0
Ohio State,40,58.208955223880594,2.1406777313652703,0,0.523,0.052,0.011,0.005,0,0
Northern Iowa,47,68.65671641791045,2.055799209552236,0,0.258,0.159,0.021,0.005,0.001,0
Hofstra,45,65.67164179104478,2.092672811261424,0,0.533,0.161,0.009,0.003,0,0
North Dakota State,51,74.6268656716418,1.9238062206558222,0,0.267,0.066,0.018,0.003,0,0
North Carolina,33,47.76119402985075,2.325849482415219,0,0.39,0.084,0.013,0.002,0,0
Texas Tech,27,38.80597014925373,2.380657423261326,0,0.331,0.201,0.013,0.001,0,0
Miami (FL),35,50.74626865671642,2.2738879179564715,0,0.839,0.203,0.021,0.001,0,0
North Carolina State,38,55.223880597014926,2.169457196650375,0.622,0.289,0.02,0.007,0.001,0,0
Wisconsin,39,56.71641791044776,2.162837309712748,0,0.096,0.039,0.004,0.001,0,0
UCLA,41,59.701492537313435,2.1186569124076304,0,0.773,0.121,0.033,0.001,0,0
Clemson,46,67.16417910447761,2.0699473814228586,0,0.393,0.059,0.018,0.001,0,0
California Baptist,61,89.55223880597015,1.5735570746078804,0,0.263,0.028,0.004,0.001,0,0
Alabama,26,37.3134328358209,2.41487825451686,0,0.467,0.139,0.004,0,0,0
Georgia,29,41.791044776119406,2.3489111009691706,0,0.07,0.005,0,0,0,0
Brigham Young,32,46.26865671641791,2.330823456464281,0,0.574,0.058,0.015,0,0,0
Kentucky,37,53.73134328358209,2.217593335456424,0,0.291,0.037,0.009,0,0,0
SMU,42,61.19402985074627,2.099719296129046,0.2,0.044,0.013,0.001,0,0,0
Texas A&M,43,62.6865671641791,2.0980822039537244,0,0.103,0.012,0.001,0,0,0
Texas,44,64.17910447761194,2.096672050495975,0.378,0.137,0.018,0.001,0,0,0
Villanova,48,70.14925373134328,2.0262736506673535,0,0.204,0.02,0.002,0,0,0
TCU,49,71.64179104477611,1.9848467774833882,0,0.477,0.043,0.013,0,0,0
Hawaii,50,73.13432835820896,1.9378630431653783,0,0.204,0.024,0.001,0,0,0
Troy,52,76.11940298507463,1.8397894380403907,0,0.131,0.016,0.001,0,0,0
Kennesaw State,53,77.61194029850746,1.8223661072654556,0,0.04,0.017,0.005,0,0,0
Missouri,54,79.1044776119403,1.7798736738808565,0,0.161,0.016,0,0,0,0
Wright State,55,80.59701492537313,1.7712304981614209,0,0.084,0.006,0.001,0,0,0
UCF,56,82.08955223880596,1.7452154804400266,0,0.227,0.02,0.005,0,0,0
Howard,57,83.58208955223881,1.711437826499747,0.621,0.029,0.004,0.001,0,0,0
Tennessee State,58,85.07462686567165,1.6903552548086482,0,0.052,0.007,0,0,0,0
Furman,59,86.56716417910448,1.6588558520582382,0,0.051,0.006,0,0,0,0
UMBC,60,88.05970149253731,1.5861625397708103,0.379,0.025,0,0,0,0,0
Idaho,62,91.04477611940298,1.52085141479279,0,0.055,0.003,0.001,0,0,0
Penn,63,92.53731343283582,1.51601481083844,0,0.057,0.008,0,0,0,0
Siena,64,94.02985074626865,1.4893368675151804,0,0.065,0.01,0,0,0,0
Queens (NC),65,95.5223880597015,1.2464226279114528,0,0.05,0.002,0,0,0,0
LIU,66,97.01492537313433,1.1422703827350933,0,0.042,0.002,0,0,0,0
Prairie View A&M,67,98.50746268656717,1.1225575840127433,0.61,0.022,0,0,0,0,0
Lehigh,68,100,0.9118035718114033,0.39,0.024,0.002,0,0,0,0
