feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
avg_point_margin,0.15273930217098503,-0.6402661119227682,-0.009299828513380631,-0.14587157562302272,0.17844443707106677,0.057172651015092404,-0.005710840150603149,0.07252349626549055
avg_estimated_possessions,-0.041213616125488794,0.08340584802321904,-0.11674314443577435,-0.3551842367587705,-0.298657644366043,0.6288885899769089,-0.12937966064995168,0.18035009074740962
avg_offensive_rating,0.47592574406140054,-0.16749824309735456,-0.15802551746400817,-0.11986757751323773,0.16688937294265271,-0.0891489678391752,-0.04974652417197477,-0.03983681183004636
avg_defensive_rating,0.3502076677160386,0.4784901146940837,-0.18144353077435077,0.001416813437695466,-0.029085758463716,-0.11653223257651091,-0.04642092793028961,-0.10705984499854258
avg_efg_pct,0.4760371277803009,-0.12623651442972197,-0.01935823882817999,0.16109516142596966,-0.09297800251738536,0.17692214329108363,0.10443100719493559,0.11506776482471974
avg_true_shooting_pct,0.4687956638632734,-0.15022683518859054,-0.12148410381219976,0.21919882454187462,-0.06299880565702937,0.18159244347123393,-0.006212020630358299,0.07718839676112124
avg_ft_rate,-0.08941151775312478,-0.11078983977971073,-0.5005275324144257,0.2482487340443441,-0.04332672695281872,0.04842051814414894,-0.43995779750518166,-0.12712265635641362
avg_fg3_attempt_rate,0.1537552921336835,-0.0017005699171627475,0.4333147750448134,0.06116907114549834,0.0661926041853022,0.2702256665106686,0.31489783133464644,-0.6406413136288658
avg_tov_pct,-0.12283204000905797,-0.03966321132978781,-0.2404873857000681,0.3800585506604138,-0.5000992146558533,0.1524278967407046,0.5586624267484407,0.10224513607133531
avg_forced_tov_pct,-0.1952740656154263,-0.003443525018795343,-0.1374649397251465,-0.1008642972547239,0.594109082306598,0.3725879332643274,0.3306206871104775,0.29307391903469115
avg_orb_pct,-0.02013614027828295,-0.1439655917492253,-0.4225025481755778,-0.32483061675384534,-0.032321045124078296,-0.4436843230564528,0.47732521475470435,-0.11390440454266107
avg_drb_pct,-0.05241632058119493,-0.21202064595278097,-0.021108997410536925,-0.5492829657917534,-0.3840100159923704,0.08988735127129777,-0.0862138902348567,-0.2889003699499628
avg_opponent_efg_pct,0.25916031911789034,0.455607872435985,-0.1692608618263642,-0.3408247731944449,0.09997400310017955,0.08195655484481476,0.13067119465821816,0.05780508055324559
avg_opponent_ft_rate,-0.15578482472208036,0.02169957313952374,-0.43661662113737276,0.14429203874718818,0.26423995874028233,0.25758685700170614,-0.03420286303104995,-0.5543102464753719
