feature,championship_profile_value,historical_mean,historical_standard_deviation,imputation_median
avg_point_margin,7.564516129032258,6.139204545454546,5.0012401889059905,6.083333333333334
avg_estimated_possessions,67.4955742913001,67.63119318181818,4.021461665219332,67.665625
avg_offensive_rating,108.76278174557692,107.51203115396717,7.808064032872005,107.94486883330609
avg_defensive_rating,97.57688552465488,98.43216870700236,7.250180946727752,97.52263806765032
avg_efg_pct,0.5218489334551358,0.5179535952408996,0.04658164365121906,0.516372578548286
avg_true_shooting_pct,0.5572077691030672,0.5536659756057267,0.041812383102675564,0.554457469318866
avg_ft_rate,0.35237038599086384,0.35295924540081447,0.09033749319973217,0.33706096899781623
avg_fg3_attempt_rate,0.34175798773338445,0.3402273775940263,0.0683293480822227,0.3326862491516568
avg_tov_pct,0.13523329950436405,0.13780620215888767,0.02520186702080209,0.1355743744645746
avg_forced_tov_pct,0.14212949908123088,0.14021800675847193,0.02959166686811747,0.13954545427558024
avg_orb_pct,0.2937905210742135,0.28893890289729546,0.06285668983855841,0.2955213820488963
avg_drb_pct,0.7344137862221682,0.7351580844921168,0.05695306965433681,0.7385909533975669
avg_opponent_efg_pct,0.467671040097966,0.472594505549862,0.043033513525139684,0.4726114046466805
avg_opponent_ft_rate,0.2995847816273821,0.29912934917928913,0.08144995310730459,0.28776133992792635
