principal_component,explained_variance,cumulative_variance
PC1,0.26088150289564926,0.26088150289564926
PC2,0.14429912462028494,0.4051806275159342
PC3,0.11514209035947673,0.520322717875411
PC4,0.09794189826053444,0.6182646161359454
PC5,0.0893013637071315,0.7075659798430769
PC6,0.07573848891087562,0.7833044687539525
PC7,0.06500244473987082,0.8483069134938233
PC8,0.053970266701555504,0.9022771801953788
PC9,0.04850336424524481,0.9507805444406237
PC10,0.04368375444640103,0.9944642988870247
PC11,0.00305293149647165,0.9975172303834963
PC12,0.0016675322195940344,0.9991847626030903
PC13,6.708062130775851e-4,0.9998555688161679
PC14,1.4443118383209542e-4,1
