alpha,lambda_min,lambda_1se,cross_validated_mse,cross_validated_rmse
1,0.11387868305932909,0.26307452794171304,1.156446724446969,1.0753821294995416
0.9,0.12653187006592115,0.2923050310463478,1.1579676558780412,1.0760890557375078
0.8,0.1423483538241613,0.32884315992714125,1.160020671127179,1.0770425577140297
0.7000000000000001,0.16268383294189862,0.37582075420244715,1.1626358726869752,1.0782559402511889
0.6000000000000001,0.18979780509888178,0.4384575465695217,1.1663495784725515,1.079976656447977
0.5,0.18908816662317618,0.4794074238863051,1.1712162718340664,1.082227458455045
0.4,0.21536261881149746,0.5992592798578813,1.1774180657329667,1.0850889667363532
0.2,0.20462938359734661,0.9066353378185669,1.1787541866330058,1.085704465604248
0.1,0.2820861932577377,1.2498171407358865,1.1796897920800995,1.0861352549660193
0.30000000000000004,0.13641958906489782,0.7990123731438418,1.180897473461526,1.086691066247223
0,0.47054813050995237,3.319624038425949,1.1860809647287132,1.089073443220756
